unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1616500800000,2021-03-23 12:00:00,BTC/USD,54217.02,55229.0,54217.02,55131.7,114.8168685807,6330049.153530578
1616497200000,2021-03-23 11:00:00,BTC/USD,54706.43,54805.82,54081.39,54217.02,31.7578690903,1721817.0236261769
1616493600000,2021-03-23 10:00:00,BTC/USD,54635.79,54805.82,54466.66,54706.43,20.6765107778,1131138.0895099612
1616490000000,2021-03-23 09:00:00,BTC/USD,54352.37,54714.19,54265.52,54635.79,15.8472998679,865829.7476496121
1616486400000,2021-03-23 08:00:00,BTC/USD,54223.28,54480.93,53861.5,54352.37,21.2694519152,1156045.1201921592
1616482800000,2021-03-23 07:00:00,BTC/USD,53330.36,54242.57,53330.36,54223.28,14.9122428647,808590.7202806302
1616479200000,2021-03-23 06:00:00,BTC/USD,53557.96,53796.08,53000.0,53330.36,162.0388704033,8641591.292601334
1616475600000,2021-03-23 05:00:00,BTC/USD,54461.04,54491.7,53158.68,53557.96,167.7663970372,8985225.981862476
1616472000000,2021-03-23 04:00:00,BTC/USD,54710.81,54796.53,54080.0,54461.04,42.6280683764,2321568.936969856
1616468400000,2021-03-23 03:00:00,BTC/USD,54610.96,54746.17,54401.01,54710.81,36.3057536157,1986317.1879753754
1616464800000,2021-03-23 02:00:00,BTC/USD,55179.52,55195.27,54473.48,54610.96,53.2283295095,2906850.173710124
1616461200000,2021-03-23 01:00:00,BTC/USD,54695.2,55450.84,54570.97,55179.52,81.9638404088,4522725.371114187
1616457600000,2021-03-23 00:00:00,BTC/USD,54106.31,54799.9,53815.6,54695.2,47.1919520953,2581173.2582428525
1616454000000,2021-03-22 23:00:00,BTC/USD,54660.41,54918.36,54106.31,54106.31,66.5812840541,3602467.595229191
1616450400000,2021-03-22 22:00:00,BTC/USD,54559.39,54660.41,53733.67,54660.41,190.0560032246,10388539.05921796
1616446800000,2021-03-22 21:00:00,BTC/USD,54580.01,54987.58,54328.82,54559.39,138.4061010668,7551352.446482957
1616443200000,2021-03-22 20:00:00,BTC/USD,55560.95,56000.0,54249.94,54580.01,291.9403602857,15934107.783797111
1616439600000,2021-03-22 19:00:00,BTC/USD,56500.0,56548.53,55500.0,55560.95,331.1354160822,18398198.29617231
1616436000000,2021-03-22 18:00:00,BTC/USD,57110.0,57189.09,56400.0,56500.0,48.9967742088,2768317.7427972
1616432400000,2021-03-22 17:00:00,BTC/USD,56786.52,57219.46,56567.71,57110.0,28.1054110446,1605100.024757106
1616428800000,2021-03-22 16:00:00,BTC/USD,57095.81,57220.4,56209.84,56786.52,89.1112921817,5060320.17570195
1616425200000,2021-03-22 15:00:00,BTC/USD,57009.7,57265.14,56920.11,57095.81,36.4800344544,2082857.1160018758
1616421600000,2021-03-22 14:00:00,BTC/USD,56990.85,57314.26,56823.92,57009.7,46.4793469277,2649773.6245440985
1616418000000,2021-03-22 13:00:00,BTC/USD,57280.0,57470.54,56602.33,56990.85,60.6017111513,3453743.0299670654
1616414400000,2021-03-22 12:00:00,BTC/USD,57750.0,57765.15,56877.57,57280.0,51.8871412584,2972095.451281152
1616410800000,2021-03-22 11:00:00,BTC/USD,57927.81,58165.08,57573.25,57750.0,15.2627575851,881424.250539525
1616407200000,2021-03-22 10:00:00,BTC/USD,57396.19,58445.36,57318.43,57927.81,45.9402296452,2661216.894243513
1616403600000,2021-03-22 09:00:00,BTC/USD,57218.79,57403.77,57077.41,57396.19,8.9435449307,513325.40411599405
1616400000000,2021-03-22 08:00:00,BTC/USD,57609.02,57722.06,57139.01,57218.79,14.7891870229,846219.3865340403
1616396400000,2021-03-22 07:00:00,BTC/USD,57698.6,57875.14,57549.42,57609.02,11.5549669743,665670.3235217881
1616392800000,2021-03-22 06:00:00,BTC/USD,57608.4,57884.06,57599.71,57698.6,15.6943047797,905539.4137619984
1616389200000,2021-03-22 05:00:00,BTC/USD,57633.62,57779.01,57327.82,57608.4,43.7691715416,2521471.9418371096
1616385600000,2021-03-22 04:00:00,BTC/USD,57551.47,57837.14,57455.01,57633.62,16.779874201,967084.8933482376
1616382000000,2021-03-22 03:00:00,BTC/USD,57036.65,57659.06,57021.24,57551.47,16.5241667865,950990.0890882512
1616378400000,2021-03-22 02:00:00,BTC/USD,56612.94,57068.57,56498.64,57036.65,12.3901589661,706693.1603938076
1616374800000,2021-03-22 01:00:00,BTC/USD,56622.13,56773.31,56350.0,56612.94,33.4945653275,1896225.8172118377
1616371200000,2021-03-22 00:00:00,BTC/USD,57391.0,57464.49,56449.0,56622.13,44.0227486859,2492661.7990503586
1616367600000,2021-03-21 23:00:00,BTC/USD,57695.7,57848.66,57211.5,57391.0,28.066165092,1610745.2807949719
1616364000000,2021-03-21 22:00:00,BTC/USD,58149.87,58149.87,57577.9,57695.7,24.3515632465,1404980.48760109
1616360400000,2021-03-21 21:00:00,BTC/USD,57855.75,58164.58,57561.7,58149.87,15.4128789335,896256.9063087637
1616356800000,2021-03-21 20:00:00,BTC/USD,57606.9,58073.11,57599.75,57855.75,28.362203242,1640916.5402183414
1616353200000,2021-03-21 19:00:00,BTC/USD,57456.53,57747.63,57456.53,57606.9,22.0036303178,1267560.9313544729
1616349600000,2021-03-21 18:00:00,BTC/USD,57319.62,57575.0,57269.98,57456.53,27.1246389723,1558487.6328511243
1616346000000,2021-03-21 17:00:00,BTC/USD,57302.95,57375.25,57040.0,57319.62,16.127891638,924444.6200913377
1616342400000,2021-03-21 16:00:00,BTC/USD,57249.79,57488.77,56901.0,57302.95,25.7485067432,1475465.3944802524
1616338800000,2021-03-21 15:00:00,BTC/USD,57227.46,57650.0,57111.0,57249.79,38.1374971276,2183363.701680703
1616335200000,2021-03-21 14:00:00,BTC/USD,57097.8,57368.34,57094.95,57227.46,10.8073069204,618474.7244949142
1616331600000,2021-03-21 13:00:00,BTC/USD,56243.97,57371.78,56243.97,57097.8,73.7935761891,4213450.854529994
1616328000000,2021-03-21 12:00:00,BTC/USD,56306.85,56345.23,55925.79,56243.97,26.1029806069,1468135.2581650654
1616324400000,2021-03-21 11:00:00,BTC/USD,56172.28,56381.91,55871.9,56306.85,22.4722650529,1265342.4574938824
